"# Value in column ""Heuristic"" is mim-width computed by heuristic";;;;;
"# Value in column ""Exact"" is the exact mim value for the tree decomposition computed by the heuristic";;;;;
# iterations = 10;;;;;
# firstTieBreaker = ReducingTieBreakers::chooseMinDegree;;;;;
# secondTieBreaker = FinalTieBreakers::chooseMaxNeighboursEdges;;;;;
Graph;Vertices;Edges;Edge Density;Heuristic;Exact
1i07.dgf;59;397;0.2320280537697253;3;
1i07-pp.dgf;51;362;0.283921568627451;3;
barley.dgf;48;126;0.11170212765957446;3;
barley-pp.dgf;26;78;0.24;3;
barley-pp-001.dgf;16;50;0.4166666666666667;3;
barley-wpp.dgf;29;83;0.2044334975369458;3;
celar07-pp-002.dgf;16;54;0.45;3;
celar11-pp-004.dgf;16;43;0.35833333333333334;3;
david-pp.dgf;29;191;0.47044334975369456;3;
fl3795-pp-005.dgf;19;37;0.21637426900584794;3;
fl3795-pp-006.dgf;26;52;0.16;3;
huck.dgf;74;301;0.1114402073306183;3;
mulsol.i.2.dgf;188;3885;0.22101490499487997;3;
munin2-pp-003.dgf;16;36;0.3;3;
munin2-pp-004.dgf;16;36;0.3;3;
munin2-pp-005.dgf;16;36;0.3;3;
munin2-pp-006.dgf;16;36;0.3;3;
munin2-pp-007.dgf;17;47;0.34558823529411764;3;
munin2-pp-008.dgf;17;47;0.34558823529411764;3;
munin2-pp-009.dgf;18;47;0.30718954248366015;3;
munin2-pp-010.dgf;17;47;0.34558823529411764;3;
munin2-pp-011.dgf;17;47;0.34558823529411764;3;
munin2-pp-012.dgf;18;47;0.30718954248366015;3;
munin3-pp-003.dgf;79;265;0.08601103537812399;3;
munin4-pp-002.dgf;23;66;0.2608695652173913;3;
myciel3.dgf;11;20;0.36363636363636365;3;
oesoca42.dgf;42;72;0.08362369337979095;3;
pathfinder.dgf;109;211;0.03584777437988447;3;
pcb3038-pp-001.dgf;11;22;0.4;3;
water.dgf;32;123;0.24798387096774194;3;
water-pp.dgf;22;96;0.4155844155844156;3;
water-pp-001.dgf;21;94;0.44761904761904764;3;
water-wpp.dgf;22;96;0.4155844155844156;3;
1b67.dgf;68;559;0.24539069359086918;4;
1brf-pp.dgf;48;408;0.3617021276595745;4;
1brf-pp.dgf;48;408;0.3617021276595745;4;
1igq.dgf;54;503;0.35150244584206847;4;
1kth-pp.dgf;51;421;0.33019607843137255;4;
1kth-pp.dgf;51;421;0.33019607843137255;4;
1ubq-pp.dgf;47;170;0.1572617946345976;4;
BN_16-pp-014.dgf;34;156;0.27807486631016043;4;
BN_16-pp-015.dgf;34;156;0.27807486631016043;4;
celar01-pp-001.dgf;47;275;0.2543940795559667;4;
celar03-pp.dgf;81;413;0.12746913580246913;4;
celar03-pp-001.dgf;38;238;0.3385490753911807;4;
celar05-pp-002.dgf;47;271;0.2506938020351526;4;
celar07-pp-001.dgf;45;320;0.32323232323232326;4;
celar08-pp-001.dgf;39;283;0.38191632928475033;4;
celar11-pp-003.dgf;48;264;0.23404255319148937;4;
jean.dgf;80;254;0.08037974683544304;4;
mainuk.dgf;48;198;0.17553191489361702;4;
mildew.dgf;35;80;0.13445378151260504;4;
miles250.dgf;128;387;0.04761318897637795;4;
munin3-pp.dgf;96;313;0.06864035087719299;4;
munin4-pp-001.dgf;23;66;0.2608695652173913;4;
munin4-pp-003.dgf;38;109;0.155049786628734;4;
munin4-pp-004.dgf;38;109;0.155049786628734;4;
munin4-pp-005.dgf;55;156;0.10505050505050505;4;
munin4-pp-006.dgf;55;156;0.10505050505050505;4;
myciel4.dgf;23;71;0.28063241106719367;4;
pcb3038-pp-003.dgf;29;48;0.11822660098522167;4;
queen5_5.dgf;25;160;0.5333333333333333;4;
1bbz-pp.dgf;56;538;0.34935064935064936;5;
1bf4-pp.dgf;57;627;0.39285714285714285;5;
1brf.dgf;49;412;0.35034013605442177;5;
1cka.dgf;57;605;0.37907268170426067;5;
1dj7.dgf;73;743;0.2827245053272451;5;
1dj7-pp.dgf;70;726;0.30062111801242236;5;
1dp7.dgf;76;769;0.26982456140350874;5;
1e0b-pp.dgf;55;495;0.3333333333333333;5;
1fr3.dgf;67;618;0.27951153324287653;5;
1fs1.dgf;114;1351;0.2097500388138488;5;
1fse.dgf;67;730;0.3301673450927182;5;
1g2b-pp.dgf;59;632;0.36937463471654003;5;
1g6x.dgf;52;405;0.3054298642533937;5;
1gcq-pp.dgf;64;719;0.3566468253968254;5;
1gut-pp.dgf;61;597;0.3262295081967213;5;
1i2t.dgf;61;644;0.3519125683060109;5;
1igd.dgf;61;630;0.3442622950819672;5;
1igd-pp.dgf;59;622;0.3635300993571011;5;
1igq-pp.dgf;52;493;0.3717948717948718;5;
1jo8.dgf;58;608;0.367816091954023;5;
1k61.dgf;60;581;0.3282485875706215;5;
1kq1.dgf;60;607;0.34293785310734465;5;
1kq1-pp.dgf;59;603;0.35242548217416714;5;
1ku3.dgf;61;585;0.319672131147541;5;
1ku3-pp.dgf;60;581;0.3282485875706215;5;
1l9l.dgf;70;697;0.2886128364389234;5;
1oai.dgf;58;524;0.31699939503932245;5;
1oai-pp.dgf;57;518;0.32456140350877194;5;
1rb9.dgf;48;412;0.36524822695035464;5;
1sem.dgf;57;570;0.35714285714285715;5;
1sem-pp.dgf;56;565;0.36688311688311687;5;
celar02.dgf;100;311;0.06282828282828283;5;
celar03-wpp.dgf;89;438;0.1118488253319714;5;
celar05-pp.dgf;80;426;0.13481012658227848;5;
celar05-wpp.dgf;89;448;0.11440245148110317;5;
celar06.dgf;100;350;0.0707070707070707;5;
celar07-pp.dgf;92;521;0.12446249402771142;5;
celar07-wpp.dgf;97;534;0.11469072164948453;5;
celar08-pp-003.dgf;76;421;0.14771929824561403;5;
celar09-pp-002.dgf;76;421;0.14771929824561403;5;
celar10-pp-002.dgf;76;421;0.14771929824561403;5;
celar11-wpp.dgf;99;475;0.0979179550608122;5;
david.dgf;87;406;0.10852713178294573;5;
eil51.tsp.dgf;51;140;0.10980392156862745;5;
kroE100.tsp-pp.dgf;92;263;0.06282847587195413;5;
mainuk.dgf;48;198;0.17553191489361702;5;
miles500.dgf;128;1170;0.14394685039370078;5;
munin1-pp.dgf;66;188;0.08764568764568764;5;
myciel5.dgf;47;236;0.2183163737280296;5;
queen6_6.dgf;36;290;0.4603174603174603;5;
1a8o.dgf;64;536;0.26587301587301587;6;
1aba.dgf;85;886;0.24817927170868348;6;
1ail.dgf;69;631;0.2689684569479966;6;
1ail-pp.dgf;68;628;0.27568042142230026;6;
1b0n.dgf;103;1011;0.19246145059965733;6;
1bbz.dgf;57;543;0.34022556390977443;6;
1bbz-pp.dgf;56;538;0.34935064935064936;6;
1bf4.dgf;63;658;0.33691756272401435;6;
1c4q.dgf;67;756;0.3419267299864315;6;
1c75.dgf;69;683;0.2911338448422847;6;
1c9o.dgf;66;720;0.3356643356643357;6;
1cc8.dgf;70;813;0.33664596273291925;6;
1ctj.dgf;87;935;0.24993317294840953;6;
1ctj-pp.dgf;86;929;0.254172366621067;6;
1d3b-pp.dgf;68;677;0.2971905179982441;6;
1d3b-pp.dgf;68;677;0.2971905179982441;6;
1dd3.dgf;128;1356;0.16683070866141733;6;
1dp7-pp.dgf;71;748;0.3010060362173038;6;
1e0b.dgf;60;518;0.29265536723163843;6;
1en2.dgf;69;463;0.19735720375106564;6;
1fjl.dgf;65;600;0.28846153846153844;6;
1fr3-pp.dgf;62;599;0.31676361713379164;6;
1g2b.dgf;62;649;0.343204653622422;6;
1g2r.dgf;94;1109;0.253717684740334;6;
1g2r-pp.dgf;93;1104;0.25806451612903225;6;
1gcq.dgf;68;742;0.3257243195785777;6;
1gut.dgf;67;621;0.2808683853459973;6;
1hg7.dgf;66;705;0.32867132867132864;6;
1i27.dgf;73;747;0.2842465753424658;6;
1i27-pp.dgf;70;735;0.30434782608695654;6;
1ig5.dgf;75;816;0.29405405405405405;6;
1iqz.dgf;77;839;0.2867395762132604;6;
1j75.dgf;56;558;0.36233766233766235;6;
1jhg.dgf;101;841;0.16653465346534654;6;
1jhg-pp.dgf;91;784;0.19145299145299147;6;
1k61-pp.dgf;56;564;0.36623376623376624;6;
1kth.dgf;52;426;0.3212669683257919;6;
1ku3-pp.dgf;60;581;0.3282485875706215;6;
1kw4.dgf;67;672;0.3039348710990502;6;
1ljo_graph.dgf;74;789;0.29211403184005924;6;
1ljo_graph-pp.dgf;71;777;0.3126760563380282;6;
1mgq-pp.dgf;72;787;0.30790297339593115;6;
1ptf.dgf;87;1137;0.30392943063352046;6;
1pwt.dgf;61;657;0.3590163934426229;6;
1pwt-pp.dgf;59;648;0.3787258912916423;6;
1qtn-pp.dgf;77;741;0.2532467532467532;6;
celar01-pp.dgf;157;804;0.06565409113179814;6;
celar01-pp-003.dgf;58;311;0.1881427707199032;6;
celar01-wpp.dgf;158;805;0.06490365234217528;6;
celar04-pp-002.dgf;62;316;0.16710735060814383;6;
celar10-pp.dgf;133;646;0.0735930735930736;6;
celar11-pp.dgf;96;470;0.10307017543859649;6;
munin1-pp-001.dgf;63;180;0.09216589861751152;6;
munin1-wpp.dgf;90;220;0.05493133583021224;6;
munin2-pp.dgf;167;455;0.03282591443618787;6;
pigs-pp.dgf;48;137;0.12145390070921985;6;
pigs-pp-001.dgf;47;134;0.12395929694727105;6;
queen7_7.dgf;49;476;0.40476190476190477;6;
1ail-pp.dgf;68;628;0.27568042142230026;7;
1awd.dgf;89;1080;0.27579162410623087;7;
1bkf.dgf;106;1264;0.22713387241689129;7;
1bkf-pp.dgf;105;1259;0.2305860805860806;7;
1d3b.dgf;69;682;0.2907075873827792;7;
1dd3-pp.dgf;124;1334;0.17492787831104117;7;
1ezg.dgf;66;541;0.2522144522144522;7;
1i0v.dgf;100;1207;0.24383838383838383;7;
1ldd.dgf;74;835;0.3091447611995557;7;
1mgq.dgf;74;798;0.2954461310625694;7;
1qtn.dgf;87;788;0.21063886661320502;7;
1r69.dgf;63;692;0.35432667690732206;7;
anna.dgf;138;493;0.05215275573891886;7;
celar04-pp.dgf;114;524;0.08135382704548984;7;
celar09-wpp.dgf;142;609;0.06083308360803116;7;
kroA100.tsp-pp.dgf;95;272;0.06091825307950728;7;
1aac.dgf;104;1316;0.24570575056011948;8;
1bkr.dgf;107;1340;0.23628989596191147;8;
1c5e.dgf;95;1148;0.25711086226203805;8;
1en2-pp.dgf;66;451;0.21025641025641026;8;
1iib-pp.dgf;102;1379;0.26771500679479715;8;
1lkk-pp.dgf;99;1142;0.23541537827252113;8;
1rro.dgf;107;1300;0.22923646623170515;8;
1ubq.dgf;74;211;0.07811921510551648;8;
a280.tsp-pp.dgf;261;749;0.022074860005894488;8;
celar08-wpp.dgf;190;1017;0.05664160401002506;8;
ch130.tsp-pp.dgf;125;363;0.046838709677419356;8;
kroC100.tsp-pp.dgf;97;277;0.05949312714776632;8;
sodoku.dgf;81;810;0.25;8;
sodoku-elim1.dgf;80;898;0.28417721518987343;8;
1a62.dgf;122;1516;0.20539222327597886;9;
1czp.dgf;94;1195;0.27339281628917866;9;
1d4t-pp.dgf;99;1131;0.23314780457637602;9;
1erv.dgf;101;1267;0.2508910891089109;9;
1gef.dgf;119;1492;0.21250534111949865;9;
1iib.dgf;103;1384;0.26346849419379403;9;
1iib-pp.dgf;102;1379;0.26771500679479715;9;
celar04-wpp.dgf;119;503;0.07164221620851731;9;
queen8_8.dgf;64;728;0.3611111111111111;9;
1a62-pp.dgf;120;1507;0.21106442577030812;10;
1bkb-pp.dgf;127;1473;0.18410198725159355;10;
1d4t.dgf;102;1145;0.22228693457581053;10;
1fk5.dgf;85;823;0.23053221288515408;10;
1gef-pp.dgf;117;1486;0.2189802534630121;10;
1lkk.dgf;103;1162;0.2212069293736912;10;
1plc.dgf;98;1167;0.2455291394908479;10;
knights8_8.dgf;64;168;0.08333333333333333;10;
myciel6.dgf;95;755;0.1690929451287794;10;
1bkb.dgf;131;1485;0.17439812096300647;11;
1f9m.dgf;109;1349;0.2291879034998301;11;
1gef-pp.dgf;117;1486;0.2189802534630121;11;
graph03-pp.dgf;79;293;0.09509899383317105;11;
graph05-pp-001.dgf;87;389;0.10398289227479283;11;
homer-pp.dgf;95;759;0.16998880179171333;11;
knights8_8-pp.dgf;60;164;0.09265536723163842;11;
graph01-pp-001.dgf;85;327;0.09159663865546218;12;
graph03.dgf;100;340;0.06868686868686869;12;
graph03-pp-001.dgf;71;282;0.11348088531187123;12;
graph03-wpp.dgf;84;299;0.08577165806081469;12;
graph05.dgf;100;416;0.08404040404040404;12;
graph05-pp.dgf;91;394;0.09621489621489622;12;
graph05-wpp.dgf;94;397;0.09082589796385267;12;
graph01.dgf;100;358;0.07232323232323232;13;
graph01-pp.dgf;89;332;0.08478038815117467;13;
graph01-wpp.dgf;93;336;0.0785413744740533;13;
